TYPEAHEAD,YRKE
Han,Handelsråd
Hel,Helse- og sosialombud
Kon,Konsul
Kon,Kontorsjef (assisterende rådmann)
Kul,Kulturattaché
Lan,Landbruksattaché
Leg,Legasjonsråd
Lik,Likestillingsombud
Mar,Marineattaché
Med,Medisinalråd
Mil,Militærattaché
Min,Ministerråd
Omb,Ombud (Forsvaret)
Omb,Ombud (sivile tjenestepliktige)
Pre,Presseattaché
Rik,Riksadvokat
Sen,Sendemann
Siv,Sivilombud
Sos,Sosialattaché
Sos,Sosialrådmann
Spe,Spesialutsending
Ste,Stedlig representant
Sto,Stortingets ombudsmann for forvaltningen
Tek,Teknisk rådmann
Ute,Utenriksråd
Vis,Visekonsul
Rev,Revisjonsråd
Eta,Etatsleder (offentlig forvaltning)
Led,Leder (arb.giv.-/arb.tak.- og øk.inter.org.)
Led,Leder (humanitære- og andre interesseorganisasjoner)
Led,Leder (partipolitiske organisasjoner)
Top,Toppleder i interesseorganisasjoner
For,Formann (partipolitiske organisasjoner)
Fyl,Fylkessekretær (partipolitiske organisasjoner)
Gen,Generalsekretær (partipolitiske organisasjoner)
Lan,Landsstyremedlem (partipolitiske organisasjoner)
Nes,Nestleder (partipolitiske organisasjoner)
Par,Partileder (partipolitiske organisasjoner)
Par,Partisekretær (partipolitiske organisasjoner)
Sen,Sentralstyremedlem (partipolitiske organisasjoner)
1. ,1. nestleder (arbeidsgiver-/arbeidstakerorg.)
2. ,2. nestleder (arbeidsgiver-/arbeidstakerorg.)
Dir,Direktør (arb.giv.-/arb.tak.- og øk.inter.org.)
Fag,Fagforeningsleder
For,Forbundsleder (arb.giv.-/arb.tak.- og øk.inter.org.)
For,Forbundssekretær (arb.giv.-/arb.tak.- og øk.inter.org.)
Gen,Generalsekretær (arb.giv.-/arb.tak.- og øk.inter.org.)
Hov,Hovedkasserer (arb.giv.-/arb.tak.- og øk.inter.org.)
Sek,Sekretariatsleder (arb.giv.-/arb.tak.- og øk.inter.org.)
Dir,Direktør (humanitære- og andre interesseorganisasjoner)
For,Forretningsfører (humanitære- og andre interesseorganisasjoner)
Gen,Generalsekretær (humanitære- og andre interesseorganisasjoner)
Kon,Kontorsjef (humanitære- og andre interesseorganisasjoner)
Led,Leder (miljø- og naturvernorganisasjoner)
Org,Organisasjonsleder
Org,Organisasjonssekretær (humanitære- og andre interesseorganisasjoner)
Avd,Avdelingsleder (humanitære- og andre interesseorganisasjoner)
Sek,Seksjonssjef (arb.giv.-/arb.tak.- og øk.inter.org.)
Nes,Nestleder (arb.giv.-/arb.tak.- og øk.inter.org.)
Adm,Administrerende direktør
Vet,Veterinærdirektør
Arb,Arbeidsdirektør
Ass,Assisterende fiskeridirektør
Ass,Assisterende helsedirektør
Ass,Assisterende kringkastingssjef
Ass,Assisterende direktør
Ass,Assisterende regjeringsadvokat
Ass,Assisterende riksadvokat
Ban,Bankdirektør
Bib,Biblioteksdirektør
Bør,Børsdirektør
Dir,Direktør
Fen,Fengselsdirektør
Fis,Fiskeridirektør
For,Forlagsdirektør
For,Formann (trygderetten)
Gen,Generaldirektør
Hel,Helsedirektør
Hot,Hotelldirektør
Høg,Høgskoledirektør
Jer,Jernbanedirektør
Jus,Justerdirektør
Kin,Kinodirektør
Kon,Konkurransedirektør
Kon,Konserndirektør
Kon,Konsernsjef
Kra,Kraftverksdirektør
Kre,Kredittilsynsdirektør
Kri,Kringkastingssjef
Kys,Kystdirektør
Lan,Landbruksdirektør
Luf,Luftfartsdirektør
Nes,Nestleder
Olj,Oljedirektør
Pos,Postdirektør
Rik,Riksantikvar
Rik,Riksarkivar
Rik,Riksbibliotikar
Rik,Riksrevisjonens leder
Sen,Senterleder
Sen,Sentralbanksjef
Sjø,Sjøfartsdirektør
Ska,Skattedirektør
Spo,Sporveisdirektør
Ste,Stedlig leder (offentlig virksomhet)
Sty,Styreformann
Sty,Styreleder
Sty,Styremedlem
Syk,Sykehusdirektør
Tol,Tolldirektør
Try,Trygdedirektør
Uni,Universitetsdirektør
Var,Varaformann (trygderetten)
Var,Varehussjef
Vas,Vassdrags- og energidirektør
Veg,Vegdirektør
Vis,Viseadministrerende direktør
Vis,Visekonsernsjef
Lan,Landansvarlig direktør (varehandel)
Kom,Kommunaldirektør
Dag,Daglig leder (privat virksomhet)
Dir,Direktør (justervesenet)
Fin,Finanstilsynsdirektør
Adm,Administrerende direktør (offentlig virksomhet)
Ass,Assisterende administrerende direktør (offentlig virksomhet)
Arb,Arbeids- og velferdsdirektør
Fin,Finans- og økonomisjef
Øko,Økonomidirektør
Fin,Finansdirektør
Fin,Finanssjef
Ska,Skatteregnskapssjef
Ass,Assisterende forvaltningssjef
Bud,Budsjettsjef
Byk,Bykasserer
Dis,Distriktsrevisor
For,Forvaltningssjef
Fyl,Fylkesrevisor
Her,Herredskasserer
Hov,Hovedbokholder
Hov,Hovedkasserer
Kem,Kemner
Kom,Kommunerevisor
Kon,Konsernregnskapssjef
Kre,Kredittleder
Kre,Kredittsjef
Reg,Regnskapssjef
Rem,Rembursjef
Rev,Revisjonssjef
Sou,Soussjef (bank)
Tak,Takstsjef
Val,Valutasjef
Øko,Økonomisjef
Løn,Lønningssjef
Per,Personaldirektør
Per,Personalsjef
Arb,Arbeidsmiljøsjef
Fyl,Fylkespersonalsjef
HR-,HR-direktør
Per,Personalleder
Sta,Stabssjef
Sta,Staffcaptain
Vel,Velferdssjef
Str,Strategi- og planleggingssjef
Gen,Generalplansjef
Kom,Kommuneplansjef
Pla,Planleggingssjef (offentlig virksomhet)
Pla,Plansjef (offentlig administrasjon)
Ras,Rasjonaliseringssjef
Pla,Planleggingssjef (privat virksomhet)
Res,Ressursdirektør
Ann,Annen administrativ leder
Eie,Eiendomssjef (jernbane)
Avd,Avdelingsdirektør (eiendomsdrift)
Avd,Avdelingsleder (eiendomsdrift)
Bol,Boligsjef (eiendomsdrift)
Dag,Daglig leder (eiendomsdrift)
Dri,Driftssjef (renhold)
Eie,Eiendomssjef
Vis,Viseadministrerende direktør (eiendomsdrift)
Adm,Administrasjonsrådmann
Ass,Assisterende avdelingssjef (offentlig administrasjon)
Avd,Avdelingsdirektør (offentlig administrasjon)
Avd,Avdelingsleder (offentlig administrasjon)
Avd,Avdelingssjef (offentlig administrasjon)
Bol,Boligrådmann
Bol,Boligsjef (offentlig administrasjon)
Byd,Bydelsdirektør (offentlig administrasjon)
Byg,Bygningssjef (offentlig administrasjon)
Byr,Byråsjef
Dis,Distriktssjef (offentlig administrasjon)
Div,Divisjonsdirektør (offentlig administrasjon)
Div,Divisjonssjef (offentlig administrasjon)
Eks,Ekspedisjonsleder
Eks,Ekspedisjonssjef
Fag,Fagdirektør (offentlig virksomhet)
Fyl,Fylkesbyggesjef
Fyl,Fylkeskontorsjef
Går,Gårdsbestyrer (offentlig administrasjon)
Kon,Kontorsjef (offentlig virksomhet)
Kon,Kontrollsjef (offentlig administrasjon)
Reg,Regiondirektør (offentlig administrasjon)
Sek,Seksjonsleder (offentlig administrasjon)
Sek,Seksjonssjef (offentlig administrasjon)
Sek,Sektorleder
Sje,Sjefsingeniør (kommunal administrasjon)
Und,Underdirektør (offentlig virksomhet)
Dri,Driftssjef (renovasjon)
Adm,Administrasjonsdirektør
Adm,Administrasjonssjef
Per,Personal- og økonomidirektør
Hof,Hoffmarskalk
Hof,Hoffsjef
Org,Organisasjonssjef
Ove,Overhoffmesterinne
Pro,Prosjektdirektør
Reg,Regionsjef
Und,Underdirektør (privat virksomhet)
Dir,Direktør (eiendomsdrift)
Dir,Direktør (renovasjon)
Led,Leder (renovasjonsbyrå)
Eie,Eiendomsdirektør
Kon,Kontorsjef
Dir,Direktør (offentlig administrasjon)
Led,Leder (borettslag/boligsameie)
Dag,Daglig leder (forretningsmessig tjenesteyting)
Sal,Salgs- og markedssjef
Sal,Salgsdirektør
Abo,Abonnementsjef
Ann,Annonsesjef
Eks,Eksportdirektør
Eks,Eksportsjef
Opp,Opplagssjef
Sal,Salgssjef
Mar,Markedsdirektør
Mar,Markedsføringsdirektør
Mar,Markedsføringssjef
Mar,Markedssjef
Mar,Marketingsjef
Pro,Produktsjef
Imp,Importsjef
Opp,Opplagsdirektør
Inf,Informasjonssjef
PR-,PR- og informasjonssjef
Art,Art director (reklame)
For,Formidlingssjef
Inf,Informasjonsdirektør
Inf,Informasjonsleder
Kom,Kommunikasjonssjef
PR-,PR-sjef
Rek,Reklamesjef
Dag,Daglig leder (reklamebyrå)
For,Forsknings- og utviklingsleder
For,Forskningsdirektør
Avd,Avdelingsdirektør (forskningsinstitusjon)
For,Forskningssjef
Ins,Instituttleder (forskning og utvikling)
Ins,Instituttsjef (forskning og utvikling)
Lab,Laboratorieleder (forskning)
Lab,Laboratoriesjef
Utv,Utviklingsdirektør
Utv,Utviklingssjef
Des,Designsjef
Dag,Daglig leder (forskning og utviklingsarbeid)
Led,Leder (jordbruk)
Led,Leder (skogbruk)
Dir,Direktør (jordbruk)
Gar,Gartnerileder
Avd,Avdelingsdirektør (jordbruk skogbruk)
Avd,Avdelingsleder (jordbruk)
Avd,Avdelingsleder (park og idrett)
Avd,Avdelingsleder (skogbruk)
Avd,Avdelingssjef (jordbruk skogbruk)
Div,Divisjonsdirektør (jordbruk skogbruk)
Div,Divisjonssjef (jordbruk skogbruk)
Fag,Fagsjef (jordbruk skogbruk)
Opp,Oppmålingssjef (administrativ ledelse)
Par,Parksjef
Pro,Produksjonsleder (skogbruk)
Pro,Produksjonssjef (jordbruk )
Reg,Regionleder (skogbruk)
Rod,Rodeleder
Sko,Skogdirektør (offentlig virksomhet)
Sko,Skogsjef
Fyl,Fylkesgartner
Fyl,Fylkesherredskogmester
Fyl,Fylkesjordsjef
Fyl,Fylkesjordskiftesjef
Fyl,Fylkeslandbrukssjef
Fyl,Fylkesskogsjef
Jor,Jordbrukssjef
Lan,Landbrukssjef
Par,Park- og idrettssjef
Rei,Reindriftssjef
Sko,Skogbrukssjef
Sta,Statsskogsjef
Fyl,Fylkesveterinær
Dir,Direktør (skogbruk)
Gar,Gartneribestyrer
Led,Leder (fiske)
Dir,Direktør (fiske)
Avd,Avdelingsdirektør (akvakultur)
Avd,Avdelingsleder (fiske)
Avd,Avdelingssjef (akvakultur)
Div,Divisjonsdirektør (akvakultur)
Div,Divisjonssjef (akvakultur)
Fag,Fagsjef (akvakultur)
Kva,Kvalitetsdirektør (fiskeforproduksjon)
Fis,Fiskerioppsynssjef
Fis,Fiskeriråd
Fis,Fiskerisjef
Led,Leder (fiskeoppdrettsanlegg)
Led,Leder (elektrisitet/kraftverk)
Led,Leder (industri produksjon og teknisk virksomhet)
Kra,Kraftverksjef
El-,El-verksjef
Gas,Gassverksjef
Van,Vannverkssjef
Dri,Driftssjef (kjøttproduksjon)
Fab,Fabrikksjef (fiskeforproduksjon)
Avd,Avdelingsdirektør (industri)
Avd,Avdelingsdirektør (kraft- og vannforsyning)
Avd,Avdelingsleder (industri)
Avd,Avdelingssjef (industri)
Avd,Avdelingssjef (kraft- og vannforsyning)
Bas,Basesjef
Div,Divisjonsdirektør (industri)
Div,Divisjonsdirektør (kraft- og vannforsyning)
Div,Divisjonssjef (industri)
Div,Divisjonssjef (kraft- og vannforsyning)
Dri,Driftsleder (industri)
Dri,Driftsleder (kraft- og vannforsyning)
Fab,Fabrikksjef (industri)
Fag,Fagsjef (industri)
Omr,Områdesjef (industri)
Fag,Fagsjef (kraft- og vannforsyning)
Net,Nettsjef
Pro,Produksjonsdirektør (industri)
Pro,Produksjonssjef (industri)
Pro,Produksjonssjef (kjøttindustri)
Reg,Regiondirektør (elektrisitet/kraftverk)
Sek,Seksjonssjef (kraft- og vannforsyning)
Tek,Teknisk direktør (industri)
Dri,Driftssjef (industri)
Ved,Vedlikeholdssjef (industri)
Ved,Vedlikeholdssjef (kraft- og vannforsyning)
Ver,Verftssjef
Ver,Verkstedsjef
Dag,Daglig leder (industri)
Dag,Daglig leder (vannavløp)
Dir,Direktør (industri)
Dir,Direktør (vann- og kraftverk)
Led,Leder (bergverk)
Led,Leder (oljevirksomhet)
Sek,Seksjonsleder (olje- og gassutvinning)
Avd,Avdelingsdirektør (bergverksdrift)
Avd,Avdelingsdirektør (olje- og gassutvinning)
Avd,Avdelingsleder (bergverksdrift)
Avd,Avdelingsleder (olje- og gassutvinning)
Avd,Avdelingsleder (petroleumsteknologi)
Avd,Avdelingssjef (bergverk)
Avd,Avdelingssjef (olje- og gassutvinning)
Bor,Boreentreprenør
Bor,Boreleder
Bor,Boresjef
Dis,Distriktssjef (oljevirksomhet)
Div,Divisjonsdirektør (olje- og gassutvinning)
Div,Divisjonssjef (olje- og gassutvinning)
Dri,Driftsleder (oljevirksomhet bergverk)
Dri,Drilling superintendant (oljevirksomhet)
Fag,Fagsjef (bergverk)
Fag,Fagsjef (oljevirksomhet)
Gru,Gruvesjef
Ins,Installation Manager (oljevirksomhet)
Led,Leder for supervisors (oljevirksomhet)
Off,Offshore installation manager
Omr,Områdeleder (petroleumsteknologi)
Pla,Plattformsjef
Pro,Production superintendant (oljevirksomhet)
Pro,Production supervisor (oljevirksomhet)
Pro,Produksjonssjef (oljevirksomhet)
Ski,Skifstiger
Sto,Store Manager (oljevirksomhet)
Sup,Superintendent (oljevirksomhet)
Ved,Vedlikeholdssjef (olje og gass)
Dir,Direktør (bergverk)
Led,Leder (bygg og anlegg)
Reg,Reguleringssjef
Ent,Entreprenør
Avd,Avdelingsdirektør (bygg og anlegg)
Avd,Avdelingsleder (bygg og anlegg)
Avd,Avdelingssjef (bygg og anlegg)
Byg,Byggesjef
Byg,Bygningssjef (bygg og anlegg)
Div,Divisjonsdirektør (bygg og anlegg)
Div,Divisjonssjef (bygg og anlegg)
Dri,Driftsleder (bygg og anlegg)
Dri,Driftssjef (bygg og anlegg)
Ins,Installasjonsdirektør (alarminstallering)
Pla,Plansjef (bygg og anlegg)
Pla,Plassjef (bygg og anlegg)
Pro,Produksjonsleder (bygg og anlegg)
Pro,Prosjektstyringssjef (bygg og anlegg)
Tek,Teknisk sjef (bygg og anlegg)
Utb,Utbyggingssjef (bygg og anlegg)
Ved,Vedlikeholdssjef (bygg og anlegg)
Veg,Vegsjef
Bya,Byarkitekt
Byi,Byingeniør
Byp,Byplansjef
Fyl,Fylkesarkitekt
Kom,Kommunearkitekt
Pla,Plan- og anleggssjef (offentlig virksomhet)
Dag,Daglig leder (bygg og anlegg)
Dir,Direktør (bygg og anlegg)
Inn,Innkjøpssjef
Lag,Lagersjef
Led,Leder (transport og kommunikasjon)
Dis,Distribusjonssjef
Hav,Havnesjef
Omr,Områdesjef (jernbaneverket)
Pro,Produksjonsleder (jernbaneverket)
Sje,Sjefsinspektør (jernbaneverket)
Adm,Administrasjonssjef (transport og kommunikasjon)
Ass,Assisterende sjefflygeleder
Avd,Avdelingsdirektør (transport og kommunikasjon)
Avd,Avdelingsleder (transport og kommunikasjon)
Avd,Avdelingssjef (post)
Avd,Avdelingssjef (transport og kommunikasjon)
Ban,Baneregionsjef
Ban,Baneservicesjef
Ban,Banesjef
Bef,Befraktningssjef (rederi)
Bil,Biltrafikkdirektør
Bud,Budsjef
Dis,Distriktsdirektør (transport og kommunikasjon)
Dis,Distriktssjef (transport og kommunikasjon)
Div,Divisjonsdirektør (transport og kommunikasjon)
Div,Divisjonssjef (transport og kommunikasjon)
Dri,Driftsleder (lufthavn)
Dri,Driftssjef (transport og kommunikasjon)
Ene,Energisjef (jernbaneverket)
Fag,Fagsjef (transport og kommunikasjon)
Far,Fartøysjef
For,Forretningsdirektør (posten)
For,Fortollingssjef
God,Godssjef
God,Godstrafikkdirektør
Hav,Havnefogd
Hav,Havnekaptein
Lin,Linjeteknisk sjef (kommunikasjon)
Luf,Lufthavnsjef
Luf,Lufttrafikksjef
Mar,Maritim sjef
Omr,Områdesjef (transport)
Ove,Overpostmester
Per,Persontrafikkdirektør (transport)
Pos,Postmester
Pos,Postsjef
Sik,Sikkerhetsleder
Sje,Sjefflygeleder
Ski,Skipsteknisk sjef
Sta,Stasjonsmester
Sta,Stasjonssjef
Sta,Stasjonsteknisk sjef (kommunikasjon)
Tek,Teknisk direktør (transport og kommunikasjon)
Tek,Teknisk leder (lufthavn)
Tek,Teknisk sjef (transport og kommunikasjon)
Tel,Telesjef (transport og kommunikasjon)
Ter,Terminalsjef
Tog,Togdriftsleder
Tra,Trafikkdirektør
Tra,Trafikksjef
Ved,Vedlikeholdssjef (transport og kommunikasjon)
Ass,Assisterende sjøfartsdirektør
Fyl,Fylkestrafikksjef
Kom,Kommunikasjonsrådmann
Sam,Samferdselssjef
Akk,Akkvisisjonssjef
For,Forsyningsdirektør
Hov,Hovedforvalter (materiell)
Log,Logistikkdirektør
Log,Logistikksjef
Tra,Transportsjef
Mat,Materialadministrasjonssjef
Dag,Daglig leder (transport og kommunikasjon)
Ski,Skipsreder
Avd,Avdelingsdirektør (maritim)
IT-,IT-direktør
IT-,IT-leder
Dag,Daglig leder (databehandlingsvirksomhet)
Avd,Avdelingsleder (databehandlingsvirksomhet)
Avd,Avdelingssjef (IT)
Dat,Datasjef
Dri,Driftsdirektør (EDB)
Dri,Driftsleder (IT)
Dri,Driftssjef (EDB)
EDB,EDB-ansvarlig
EDB,EDB-direktør
EDB,EDB-leder
EDB,EDB-sjef
IT-,IT-sjef
Pro,Programmeringssjef (radio og fjernsyn)
Sys,Systemsjef
Fyl,Fylkesbarnevernsjef
Opp,Oppvekstsjef
Bar,Barnehagesjef
Dis,Distriktsleder (barne- og ungdomsarbeid)
Sty,Styrer (barnehage)
Ass,Assisterende etatsjef (omsorgstjenester for barn)
Enh,Enhetsleder (barnevern)
Eta,Etatsjef (omsorgstjenester for barn)
Bar,Barnehagestyrer
Bar,Barnevernssjef
Bar,Barnehjemsbestyrer
Led,Leder (helse- og sosialtjenester)
Ass,Assisterende bestyrer (omsorgsarbeid)
Ins,Institusjonssjef
Kli,Klinikksjef
Syk,Sykehussjef
Ass,Assisterende etatsjef (helsetjenester)
Ass,Assisterende fylkeshelsesjef
Ass,Assisterende fylkeslege
Ass,Assisterende fylkessykehussjef
Ass,Assisterende fylkestannlege
Dis,Distriktsleder
Enh,Enhetsleder (helsetjenester)
Eta,Etatsjef (helsetjenester)
Fyl,Fylkeshelsesjef
Fyl,Fylkeslege
Fyl,Fylkespsykolog
Fyl,Fylkessykehussjef
Fyl,Fylkestannlege
Hel,Helse- og sosialdirektør
Hel,Helsesjef
Sta,Stadsfysikus
Adm,Administrerende overlege
Amb,Ambulansesjef
Ass,Assisterende avdelingssjef (helsetjenester)
Ass,Assisterende enhetsleder (helsetjenester)
Ass,Assisterende sjefsykepleier
Avd,Avdelingsdirektør (helsetjenester)
Avd,Avdelingsleder (helsetjenester)
Avd,Avdelingsoverlege
Avd,Avdelingssjef (helsetjenester)
Bes,Bestyrer (helsetjenester)
Div,Divisjonsdirektør (helsetjenester)
Div,Divisjonssjef (helsetjenester)
Leg,Legevaktsjef
Ort,Ortopediteknisk sjef
Sek,Seksjonsleder (sykehus)
Sje,Sjefslege
Sje,Sjefsykepleier
Sty,Styrer (helsetjenester)
Syk,Sykepleiesjef
Ass,Assisterende styrer (helsetjenester)
Ass,Assisterende sykepleiesjef
Sje,Sjef (helseinstitusjon)
Sje,Sjef (helse)
Ple,Pleie- og omsorgssjef
Syk,Sykehjemsstyrer
Ass,Assisterende etatsjef (eldreomsorg)
Eld,Eldreomsorgssjef
Enh,Enhetsleder (pleie- og omsorg)
Eta,Etatsjef (eldreomsorg)
Ald,Aldershjemsbestyrer
Dis,Distriktsleder (hjemmehjelpstjenesten)
Sos,Sosialsjef
Ass,Assisterende etatsjef (sosialomsorg)
Enh,Enhetsleder (sosialomsorg)
Eta,Etatsjef (sosialomsorg)
Sos,Sosialomsorgssjef
Ass,Assisterende avdelingssjef (sosialtjenester)
Ass,Assisterende enhetsleder (sosialtjenester)
Avd,Avdelingsdirektør (sosialtjenester)
Avd,Avdelingsleder (arbeidstreningsbedrift)
Avd,Avdelingsleder (sosialtjenester)
Avd,Avdelingssjef (sosialtjenester)
Div,Divisjonsdirektør (sosialtjenester)
Div,Divisjonssjef (sosialtjenester)
Enh,Enhetsleder (sosialtjenester)
Sty,Styrer (sosialinstitusjon)
Dag,Daglig leder (rehabilitering)
Str,Straffegjennomfører (enhetsleder)
Led,Leder (undervisning)
Dek,Dekan
Uni,Universitetsrektor
Ass,Assisterende etatsjef (utdanning og undervisning)
Dis,Distriktsleder (undervisning)
Enh,Enhetsleder (undervisning)
Eta,Etatsjef (utdanning og undervisning)
Fag,Fagopplæringssjef
Fyl,Fylkesskolesjef
Sko,Skoledirektør
Sko,Skolesjef
Utd,Utdanningsdirektør
Avd,Avdelingsdirektør (undervisning)
Avd,Avdelingsleder (undervisning)
Avd,Avdelingssjef (undervisning)
Div,Divisjonsdirektør (undervisning)
Div,Divisjonssjef (undervisning)
Led,Leder (PP-rådgivningstjeneste)
Pro,Prorektor
Rek,Rektor
Sko,Skoleleder
Sko,Skolestyrer
Vok,Voksenopplæringssjef
Yrk,Yrkesopplæringsleder
Opp,Opplæringsleder
Dag,Daglig leder (utdanning og undervisning)
Pro,Prodekan
Rek,Rektor (universitet og høyskole)
Adm,Administrativ mellomleder (Universitets- og høyskolesektoren)
Sem,Seminarleder (universitet og høyskole)
Sem,Seminarholder (universitet og høyskole)
Led,Leder (finansiell tjenesteyting eiendomsdrift o.l.)
Sje,Sjef for Økokrim
Pos,Postsparbanksjef
Ass,Assisterende banksjef
Avd,Avdelingsbanksjef
Avd,Avdelingsdirektør (finansiell tjenesteyting)
Avd,Avdelingsleder (bank)
Avd,Avdelingssjef (finansiell tjenesteyting)
Ban,Banksjef
Dep,Depotsjef
Dis,Diskonteringssjef
Dis,Distriktsbanksjef
Dis,Distriktssjef (finansiell tjenesteyting)
Div,Divisjonsdirektør (finansiell tjenesteyting)
Div,Divisjonssjef (finansiell tjenesteyting)
Eng,Engasjementssjef (bank)
Fil,Filialsjef (bank)
Fil,Filialbestyrer (bank)
Fon,Fondssjef
For,Forretningsområdebanksjef
For,Forsikringssjef
Hav,Havarisjef (forsikring)
Ink,Inkassosjef
Omr,Områdebanksjef
Reg,Regionalleder (finansiell tjenesteyting)
Sek,Seksjonsleder (finansiell tjenesteyting)
Sek,Seksjonssjef (forsikring)
Ska,Skadesjef (forsikring)
Utl,Utlånssjef
Vis,Viseadministrerende direktør (finansiell tjenesteyting)
Fyl,Fylkeskasserer
Kom,Kommunekasserer
Reg,Regiontrygderevisor
Rik,Riksrevisor
Inn,Innskuddsjef
Dag,Daglig leder (finansiell tjenesteyting)
Dir,Direktør (finansiell tjenesteyting)
Led,Leder/Medlem (forstanderskap/representantskap i bank)
Ann,Annen leder av produksjon og tjenesteyting
Ant,Antikvar
Led,Leder (næringsmiddelarbeid)
Led,Leder (offentlig administrasjon)
Led,Leder (privat virksomhet)
Len,Lensmann
Mil,Miljøvernleder
Siv,Sivilforsvarsinspektør
Vis,Visepolitimester
Bis,Biskop
For,Forlagssjef
Kar,Kartverksjef
Kir,Kirkeverge
Mag,Magasinredaktør
Red,Redaktør (øverste leder)
Try,Trykkerileder
Sje,Sjefredaktør
Avd,Avdelingsdirektør (avis)
Avd,Avdelingsleder (avis)
Avd,Avdelingssjef (avis)
Pro,Produksjonsdirektør (avis)
Fag,Fagsjef (avis)
Pro,Produksjonssjef (avis)
Pro,Produksjonssjef (forlag)
Pro,Produksjonssjef (pakkeri)
Pro,Produksjonssjef (trykkeri)
Bil,Biltilsynssjef
Sjø,Sjøfartsinspektør
Ass,Assisterende fagsjef (offentlig administrasjon)
Ass,Assisterende fylkesarbeidssjef
Ass,Assisterende riksmeklingsmann
Pol,Politiavdelingssjef
Bid,Bidragsfogd
Bra,Brannsjef
Bri,Brigadesjef (brann- og feiervesen)
Bya,Byantikvar
Dir,Direktør for havarikommisjonen (sivil luftfart)
Dis,Distriktsarbeidssjef
Dis,Distriktssjef (toll)
Fag,Fagsjef (offentlig administrasjon)
Fen,Fengselsinspektør
Fyl,Fylkesarbeidssjef
Fyl,Fylkesberedskapsleder
Fyl,Fylkesbiblioteksjef
Fyl,Fylkesforsyningssjef
Fyl,Fylkesingeniør
Fyl,Fylkeskartsjef
Fyl,Fylkesmiljøvernsjef
Fyl,Fylkesskattesjef
Kri,Kriminalpolitisentralsjef
Lig,Ligningssjef
Mil,Miljøvernsjef
Nær,Næringssjef
Opp,Oppsynssjef
Ove,Overvåkningssjef
Pla,Plan- og miljøsjef
Pol,Politimester
Pol,Politistasjonssjef
Pro,Protokollsjef
Reg,Registersjef
Reg,Regjeringsadvokat
Rei,Reiseinspektør (offentlig administrasjon)
Rik,Riksmekler
Sen,Sendelagsleder
Siv,Sivilforsvarsdistriktssjef
Sje,Sjefsinspektør
Ska,Skattefogd
Tek,Teknisk sjef (offentlig administrasjon)
Til,Tiltakssjef (offentlig administrasjon)
Tol,Tolldistriktssjef
Tol,Tollstedsjef
Try,Trygdesjef
Tur,Turistsjef
Utr,Utrykningspolitisjef
Var,Varabrannsjef
Ver,Verkstedbestyrer (forsvaret)
Avd,Avdelingsleder (museum)
Bib,Biblioteksjef
Hov,Hovedbibliotekar
Mus,Museumsdirektør
Sta,Statsarkivar
Sik,Sikkerhetsdirektør
Sik,Sikkerhetssjef
Son,Sonesjef
Dag,Daglig leder (eiendomsmekling)
Fyl,Fylkeskonservator
Dir,Direktør (arkiv)
Hot,Hotellsjef
Led,Leder (hotell og overnatting)
Avd,Avdelingsdirektør (hotell)
